clave,nombre,apellido,puesto,jornada_contratada,sucursal,fecha,hora_inicio,hora_fin,minutos_descanso
T001-001,Miguel,Luna Pérez,Almacenista,48,Coapa,2026-07-20,12:30,21:00,30
T001-001,Miguel,Luna Pérez,Almacenista,48,Coapa,2026-07-21,12:30,21:00,30
T001-001,Miguel,Luna Pérez,Almacenista,48,Coapa,2026-07-22,12:30,21:00,30
T001-001,Miguel,Luna Pérez,Almacenista,48,Coapa,2026-07-24,12:30,21:00,30
T001-001,Miguel,Luna Pérez,Almacenista,48,Coapa,2026-07-25,12:30,21:00,30
T001-001,Miguel,Luna Pérez,Almacenista,48,Coapa,2026-07-26,12:30,21:00,30
T001-002,Ana,Ortiz García,Cajero(a),48,Coapa,2026-07-20,09:00,17:30,30
T001-002,Ana,Ortiz García,Cajero(a),48,Coapa,2026-07-21,09:00,17:30,30
T001-002,Ana,Ortiz García,Cajero(a),48,Coapa,2026-07-22,09:00,17:30,30
T001-002,Ana,Ortiz García,Cajero(a),48,Coapa,2026-07-23,09:00,17:30,30
T001-002,Ana,Ortiz García,Cajero(a),48,Coapa,2026-07-24,09:00,17:30,30
T001-002,Ana,Ortiz García,Cajero(a),48,Coapa,2026-07-25,09:00,17:30,30
T001-003,Javier,Molina Domínguez,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-003,Javier,Molina Domínguez,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-003,Javier,Molina Domínguez,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-003,Javier,Molina Domínguez,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-003,Javier,Molina Domínguez,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-003,Javier,Molina Domínguez,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-004,Óscar,Olvera López,Cajero(a),48,Coapa,2026-07-20,09:00,17:30,30
T001-004,Óscar,Olvera López,Cajero(a),48,Coapa,2026-07-22,09:00,17:30,30
T001-004,Óscar,Olvera López,Cajero(a),48,Coapa,2026-07-23,09:00,17:30,30
T001-004,Óscar,Olvera López,Cajero(a),48,Coapa,2026-07-24,09:00,17:30,30
T001-004,Óscar,Olvera López,Cajero(a),48,Coapa,2026-07-25,09:00,17:30,30
T001-004,Óscar,Olvera López,Cajero(a),48,Coapa,2026-07-26,09:00,17:30,30
T001-005,Emmanuel,Olvera Gutiérrez,Cajero(a),48,Coapa,2026-07-20,12:30,21:00,30
T001-005,Emmanuel,Olvera Gutiérrez,Cajero(a),48,Coapa,2026-07-21,12:30,21:00,30
T001-005,Emmanuel,Olvera Gutiérrez,Cajero(a),48,Coapa,2026-07-22,12:30,21:00,30
T001-005,Emmanuel,Olvera Gutiérrez,Cajero(a),48,Coapa,2026-07-23,12:30,21:00,30
T001-005,Emmanuel,Olvera Gutiérrez,Cajero(a),48,Coapa,2026-07-24,12:30,21:00,30
T001-005,Emmanuel,Olvera Gutiérrez,Cajero(a),48,Coapa,2026-07-25,12:30,21:00,30
T001-006,Ana,Morales Contreras,Vendedor(a) de piso,48,Coapa,2026-07-20,12:30,21:00,30
T001-006,Ana,Morales Contreras,Vendedor(a) de piso,48,Coapa,2026-07-21,12:30,21:00,30
T001-006,Ana,Morales Contreras,Vendedor(a) de piso,48,Coapa,2026-07-22,12:30,21:00,30
T001-006,Ana,Morales Contreras,Vendedor(a) de piso,48,Coapa,2026-07-23,12:30,21:00,30
T001-006,Ana,Morales Contreras,Vendedor(a) de piso,48,Coapa,2026-07-24,12:30,21:00,30
T001-006,Ana,Morales Contreras,Vendedor(a) de piso,48,Coapa,2026-07-25,12:30,21:00,30
T001-007,Arturo,Olvera Guzmán,Cajero(a),48,Coapa,2026-07-20,09:00,17:30,30
T001-007,Arturo,Olvera Guzmán,Cajero(a),48,Coapa,2026-07-21,09:00,17:30,30
T001-007,Arturo,Olvera Guzmán,Cajero(a),48,Coapa,2026-07-23,09:00,17:30,30
T001-007,Arturo,Olvera Guzmán,Cajero(a),48,Coapa,2026-07-24,09:00,17:30,30
T001-007,Arturo,Olvera Guzmán,Cajero(a),48,Coapa,2026-07-25,09:00,17:30,30
T001-007,Arturo,Olvera Guzmán,Cajero(a),48,Coapa,2026-07-26,09:00,17:30,30
T001-008,Araceli,Molina Ramos,Almacenista,48,Coapa,2026-07-20,09:00,17:30,30
T001-008,Araceli,Molina Ramos,Almacenista,48,Coapa,2026-07-21,09:00,17:30,30
T001-008,Araceli,Molina Ramos,Almacenista,48,Coapa,2026-07-22,09:00,17:30,30
T001-008,Araceli,Molina Ramos,Almacenista,48,Coapa,2026-07-24,09:00,17:30,30
T001-008,Araceli,Molina Ramos,Almacenista,48,Coapa,2026-07-25,09:00,17:30,30
T001-008,Araceli,Molina Ramos,Almacenista,48,Coapa,2026-07-26,09:00,17:30,30
T001-009,Óscar,Acosta Cruz,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-009,Óscar,Acosta Cruz,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-009,Óscar,Acosta Cruz,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-009,Óscar,Acosta Cruz,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-009,Óscar,Acosta Cruz,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-009,Óscar,Acosta Cruz,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-010,Roberto,Camacho Jiménez,Supervisor(a) de piso,48,Coapa,2026-07-21,12:30,21:00,30
T001-010,Roberto,Camacho Jiménez,Supervisor(a) de piso,48,Coapa,2026-07-22,12:30,21:00,30
T001-010,Roberto,Camacho Jiménez,Supervisor(a) de piso,48,Coapa,2026-07-23,12:30,21:00,30
T001-010,Roberto,Camacho Jiménez,Supervisor(a) de piso,48,Coapa,2026-07-24,12:30,21:00,30
T001-010,Roberto,Camacho Jiménez,Supervisor(a) de piso,48,Coapa,2026-07-25,12:30,21:00,30
