clave,nombre,apellido,puesto,jornada_contratada,sucursal,fecha,hora_inicio,hora_fin,minutos_descanso
T020-001,Guadalupe,Chávez Castillo,Vendedor(a) de piso,48,Celaya,2026-07-28,09:00,17:30,30
T020-001,Guadalupe,Chávez Castillo,Vendedor(a) de piso,48,Celaya,2026-07-29,09:00,17:30,30
T020-001,Guadalupe,Chávez Castillo,Vendedor(a) de piso,48,Celaya,2026-07-30,09:00,17:30,30
T020-001,Guadalupe,Chávez Castillo,Vendedor(a) de piso,48,Celaya,2026-07-31,09:00,17:30,30
T020-001,Guadalupe,Chávez Castillo,Vendedor(a) de piso,48,Celaya,2026-08-01,09:00,17:30,30
T020-001,Guadalupe,Chávez Castillo,Vendedor(a) de piso,48,Celaya,2026-08-02,09:00,17:30,30
T020-002,Francisco,Santiago García,Almacenista,48,Celaya,2026-07-27,09:00,17:30,30
T020-002,Francisco,Santiago García,Almacenista,48,Celaya,2026-07-28,09:00,17:30,30
T020-002,Francisco,Santiago García,Almacenista,48,Celaya,2026-07-29,09:00,17:30,30
T020-002,Francisco,Santiago García,Almacenista,48,Celaya,2026-07-31,09:00,17:30,30
T020-002,Francisco,Santiago García,Almacenista,48,Celaya,2026-08-01,09:00,17:30,30
T020-002,Francisco,Santiago García,Almacenista,48,Celaya,2026-08-02,09:00,17:30,30
T020-003,Jimena,Hernández Aguilar,Vendedor(a) de piso,48,Celaya,2026-07-27,12:30,21:00,30
T020-003,Jimena,Hernández Aguilar,Vendedor(a) de piso,48,Celaya,2026-07-29,12:30,21:00,30
T020-003,Jimena,Hernández Aguilar,Vendedor(a) de piso,48,Celaya,2026-07-30,12:30,21:00,30
T020-003,Jimena,Hernández Aguilar,Vendedor(a) de piso,48,Celaya,2026-07-31,12:30,21:00,30
T020-003,Jimena,Hernández Aguilar,Vendedor(a) de piso,48,Celaya,2026-08-01,12:30,21:00,30
T020-003,Jimena,Hernández Aguilar,Vendedor(a) de piso,48,Celaya,2026-08-02,12:30,21:00,30
T020-004,Jimena,Bautista Fuentes,Vendedor(a) de piso,24,Celaya,2026-07-27,09:00,15:00,0
T020-004,Jimena,Bautista Fuentes,Vendedor(a) de piso,24,Celaya,2026-07-28,09:00,15:00,0
T020-004,Jimena,Bautista Fuentes,Vendedor(a) de piso,24,Celaya,2026-07-29,09:00,15:00,0
T020-004,Jimena,Bautista Fuentes,Vendedor(a) de piso,24,Celaya,2026-08-01,09:00,15:00,0
T020-005,Ana,Guerrero Ortiz,Cajero(a),48,Celaya,2026-07-27,09:00,17:30,30
T020-005,Ana,Guerrero Ortiz,Cajero(a),48,Celaya,2026-07-28,09:00,17:30,30
T020-005,Ana,Guerrero Ortiz,Cajero(a),48,Celaya,2026-07-29,09:00,17:30,30
